aabad,Populated
acalapati,Lord of the immovable; Lord of mountain 
acalendra,Lord of the immovable; The Himalayas 
acalesvara,God of the immovable; Another name of Lord Shiva 
acanda,Not of the hot temper; Without anger; Gentle 
acarya,Teacher; Another Name for Drona
acaryanandana,Son of the teacher; Another name of Asvatthaman 
acaryasuta,Son of the teacher; Another name of Asvatthaman 
acaryatanaya,Son of the teacher; Another name for Aswatthama 
acchindra,Flawless; Uninterrupted; Perfect 
acchutan,Lord Vishnu, The one who is without the six transformations, Beginning with the birth 
achal,Immovable; Constant; Guarantee
achal,Constant 
achala,Still; Immovable
achalendra,The himalayas 
achalesvara,God of the immovable; Another name for Lord Shiva 
achalraj,Himalayan mountain 
achanda,Not of the hot temper; Without anger; Gentle 
achapal,Determination 
acharya,A prominent religious teacher and spiritual guide; Teacher 
acharyasuta,Son of the teacher; Another name for Aswatthama 
achindra,Flawless; Uninterrupted; Perfect 
achint,Care free 
achintya,Beyond comprehension 
achit,Separation of newborns hair 
achmani, 
achutam, 
achyut,Imperishable, A Name of Vishnu
achyut,Imperishable; A name of Lord Vishnu; Indestructible 
achyut pragna,Lord Vishnu and Lord Hanuman 
achyuta,Imperishable; A name of Lord Vishnu; Indestructible 
achyuth,Lord Vishnu; Imperishable; Indestructible; Immovable 
achyutha,Lord Vishnu; Imperishable; Indestructible; Immovable 
achyuthan,Indestructible 
acintya,Surpassing thought; Incogitable 
acyuta,Unending; Never Lapsing; Eternal
acyutaraya,Worshipper of the infallible; A devotee of Lord Vishnu 
adag,Pure; Blemishless
adalarasu,King of dance 
adam,A prophet's name; Black 
adamya,Formidable; Brave
adan,TBD
adar,Ideal, Exalted, High, Eminent
adarko,TBD
adarsh,Rules, Perfection, Excellence
adarsh,Ideal; The Sun; Principle; Belief; Excellence 
adavak,Simple; Uncomplicated
adavan,Sun; Peack
adavya,Generous and Happy
adbhutah,Wonderful God 
addesh,Instruction; Command; Order
addvik,Unique; Lord Shiva
adedev,The Lord of the lords 
adeela,Equal
adeep,The light of Lord Vishnu 
adelik,Successful; Full of Concentration
adem,Earth; Of the Earth
adenya,First
adenya,First 
adersh,One who has Principles
adesh,Command; Message; Counsel 
adeshwar,God 
adhana,One without Money
adhara,Lips
adharsh,Ideal; The Sun 
adharv,Lord Ganesha, First Veda 
adharv,Adharva Veda; Lord Krishna
adhavan,The Sun 
adhbudha,Rare 
adheer,Restless
adheer,Restless; Lord Chandra or Moon 
adheesh,King; Hindu God; God worshipped by the Gods themselves 
adheit,TBD
adhesh,A Command
adhi,Adornment; Beginning; Perfect; Most significant; Ornament; Unequalled; First 
adhi,Earth, First, King, Lord Shiva
adhik,Greater 
adhikara,Principal; Controller 
adhil,Honerable juduge; Justice 
adhila,The Censurer
adhinath,The first Lord; Lord Vishnu 
adhip,King; Ruler 
adhipa,King; Ruler
adhipa,King; Ruler 
adhir,Restless; Lord Chandra or Moon 
adhira,Impatient
adhiraj,King 
adhiratha,Charioteer (A leader of the sutas- the caste generally employed as charioteers. He found Karna after Kuntî had cast him away in a basket and raised him as his own son.)
adhish,King; Lord; Master
adhish,King; Hindu God; God worshipped by the Gods themselves 
adhit,From the beginning 
adhita,A Scholar
adhita,A scholar 
adhithya,Newly risen Sun; Lord Surya; The Sun 
adhitya,Newly risen Sun; Lord Surya; The Sun 
adhivesh, 
adhmik,TBD
adhrav,TBD
adhrit,TBD
adhrit,Who does not need support but supports every one; Lord Vishnu; Independent; Supportive 
adhvait,Unique; Another name for Brahma and Vishnu; Non duality 
adhvaita,Union of matter and soul; Non duality; Unique 
adhvay,Unique; Original 
adhvedh, 
adhvesh,Traveler; A journey; Sky; Air 
adhvik,Unique; Winner; Brave
adhvik,Unique 
adhvit,Only One
adhwik,Unique; Sun
adhyai,Chapter
adhyan,Study, One who is Rising
adhyan,Name of a prophet; A nabee 
adhyann,Curriculum 
adhyay,Chapter; Learning
adhyayan,Education 
adhyen,Study
adhyuth,Is associated with Lord Ayyappa 
adi,Adornment, Beginning, Perfect, Most significant, Ornament, Unequalled, First 
adi,Beginning, First Born, Superior
adidev,Supreme God, Lord of the Lords
adidev,The Lord of the Lords; The first God 
adie,Noble; Kind; Adornment; Jewel
adiish,King or Master
adijot,The First Light
adikar,Light
adikavi,First poet 
adikesh,Lord Shiva 
adikrit,God's Creativity 
adikya,Authority; Showing upper hand 
adil,Sincere, Just, Fair, Judicious
adiman,Destroyer 
adinad,The First Voice / Sound
adinath,The first Lord; Lord Vishnu 
adip,The Light that Never Gets off
adipurush,Primordial being 
adipurusha,Primordial being 
adiraj,One who has No Limits
adiraj,One who has No Limits 
adiran,Place Name, From Adria
adisai, 
adisesh,Lord Vishnu; The divine serpent 
adish,Fire 
adisheshu, 
adisur,An Entry Point into a Dispute
adit,From the Beginning, First Born
adit,From the beginning 
aditey,Another Name of the Sun
aditeya,The Sun 
adith,From the beginning 
adithiya,Newly risen Sun; Lord Surya; The Sun 
adithya,Lord of the Sun; The Sun; Sun God (Son of Adithi)
aditiya,Newly risen Sun; Lord Surya; The Sun 
aditraj,King 
aditya,The Sun, As Bright as Sun
aditya,Newly risen Sun; Lord Surya; The Sun 
adityakiran,Sunrays 
adityanandana,Son of The Sun (Son of the Sun)
adityansu, 
adityesh, 
adiv,Gentle; Delicate; Brave; Pleasant
adiv,Pleasant; Gentle 
adiya,Jewel; Treasure of God 
adiyen,Devotee; Servant; Slave
adjovi,Prince
adlin,God 
adnesh,Lord Krishna
adonai,Lord; My Ruler
adotka,Strength and wisdom 
adra,More Knowledgeable
adrash,Invisible
adrav,Dispeller of all distresses 
adrian,Dark One; Rich; From Hadria
adrik,Awesome 
adripathi,Master of the mountains 
adript,Free from Arrogance; Not-pride
adrish,Infinite visionary 
adrit,Beloved 
adriyan,Black of adriatic 
adrush,Like the rising; The Sun 
adrutha, 
adtiya,Lord Surya 
advaid,TBD
advait,Unique, Lord Ganpati
advait,Unique; Another name for Brahma and Vishnu; Non duality 
advaith,Unique; Another name for Brahma and Vishnu; Non duality 
advay,Unique; One; United; With no duplicate 
advaya,One; United
advaya,Unique; One; United; With no duplicate 
advayu,Unique, Not-two
adveek,Unique
advek, 
advesh,Not Malevolent
advik,Unique 
advit,Unique; Focused 
advita,First One; Divine
adviteeya,Unique; The first one, no second; The Sun or one which has no end 
advith,Focused; Powerful; Lord Vishnu
advitya,Unique; The first one, no second; The Sun or one which has no end 
advyth,Unique, One of Its Kind
adwaid,An old Puran, like Ramayana, Bhagwat Gita 
adwaid,Unique
adwait,Unique; Another name for Brahma and Vishnu; Non duality 
adwait,Undivided, Singleness, Unique
adwaita,Non-duality; One without a second 
adwaith,Unique; Another name for Brahma and Vishnu; Non duality 
adwaiy,Unique
adway,One; United; Unique 
adwaya,One; United; Unique 
adwaya,One; United; Unique
adwik,Unique 
adwit,Vishnu; Unique 
adya,First; Today; Lord Shiva
adyant,Infinite from Adi to Ant; From begining to end 
adyant,Matchless; Great Full; Infinite
aeivam,Other Option
aera,Lion
aeshan,In God's grace 
aeyush,Long lived 
aftaab,The Sun
aga,Sword, Moving, The Sun, A Snake
agam,Coming; Arrival; A name of Jain shastra; Insight; Intelligence; Wisdom 
agam,Extending Far, Profound
agamik,First
agamiya,The Karma we perform in this birth 
aganit,Name of Lord Vishnu 
aganit,Countless; God
aganya,Son of Fire; Uncountable
agarv,Balanced; Not arrogant 
agarvin,Successful Man 
agasthya,Name of a sage; One who humbles even the mountain 
agasti,Name of a sage 
agasti,Name of a Sage
agastya,Name of a sage; One who humbles even the mountain 
agaz,Watchful; Awake
agendra,King of mountains 
agha,Pre-eminent, Master, Owner
aghama,The Moon
aghanaya, 
agharna,The Moon 
aghartha,Supernatural 
aghat,Destroyer of sin 
aghora,Not Terrible
aghornath,Lord Shiva, The Lord of the aghoris 
aghosh,Quiet; Soundless 
aghosh,Quiet; Soundless; Harsh Sound
agilan,Man who Commands Everything
agilan,A man who commands everything 
agilis, 
agneev,Flame of the Fire
agnesh,Flame of Fire
agneya,Son of Agni (Son of Agni)
agneya,Son of Agni; Son of the Fire
agni,Fire, Flame, Ever-young
agni,Towards the fire 
agnihotra,The sacrifice offered to Agni 
agnikumara,Son of Agni (Son of Agni)
agnimitra,Friend of fire 
agniprava,Bright as the fire 
agnira,Intelligent, Brilliant
agniras,One of the Saptarshi 
agnish,Part of Fire; Belongs to Fire
agnit,Lord Vishnu 
agniv,Bright as light 
agnivesh,Bright as the fire 
agnivo,Flame of the Fire
agnivo,Flame of the fire 
agraj,Leader; Senior; First born 
agrani,Always First
agrata,Leadership
agreem,Beyond Knowledge
agreya,TBD
agrim,Leader; First 
agrima,Advance; Leader; First
agriya,First best 
agustya,A name of a Hindu saint 
agya,TBD
agyeya,Beyond Comprehension
agyeya,Unknown 
ahaan,Dawn, Sunrise, Morning glory, First ray of light; One who is of the nature of time itself 
ahalad,Enjoy
ahalyashapashamana,Remitter of Ahalya's curse 
aham,Importance
ahan,Morning, Dawn
ahan,Dawn, Sunrise, Morning glory, First ray of light; One who is of the nature of time itself 
ahankar,Surya, One who causes day, The Sun; Gurmukhi; Pride; Ego 
ahar,Defender
ahar,Activity; Defender; Protector 
aharshi,The Sun; King of the day 
aharsi,The Sun; King of the day 
aheesh,Blessing; King of Serpent
ahem,Proud; Important; Necessary
ahem,Special 
ahijit,Conqueror of the serpent 
ahil,Prince, Emperor, Ruler, Commander
ahil,Prince 
ahilan,Knowledgeable; Commanding
ahilan,Knowledgeable; Commanding 
ahim,Cloud; Water; Traveller
ahim,Cloud; Water; Traveller 
ahin,Whole; Complete; Snake 
ahir,Devotee; Fearless
ahir,Last; The devotee and God are one 
ahit,Hostile
ahjaja,Born of a Lotus
ahlad,Delight; Joy; Happy; Happiness 
ahnay,As bright as the Sun 
ahobal,Mighty; Lord Hanuman
ahruran,Lord Shiva; The name of the God Shiva from the place Thiruvarur 
ahsaas,Feeling 
ahsinav,King of the universe 
ahti,Myth name of a God of magic 
ahwaan,Welcome; Calling; Invitation
ahyaan,God Gift
aiden,Powerful 
aifa,Smart; Gifted; Talented
aifa,Smart 
ail,From the stony place; Originating from the intellect 
ainesh,The Sun's Glory
ainesh,The Sun's glory; Sunshine 
ainitosh,Happy 
airavath,White elephant of Lord Indra 
airawat,The celestial white elephant 
airish, 
aishan,Belonging to Lord Shiva
aishik,Heavenly, Royal, Divine
aishna,Desire; Wish
aitash,TBD
aiyappa,Lord Ayyappa 
aiyman,Lucky; Righteous
