aamodini,Joyful; Pleasurable; Happy girl; Fragrant; Celebrated 
aamodita,Happy; With Strong Fragrance
aamrapali,Leaf of Mango Tree
aamrutha,State of deathlessness; Immortality; Divine nectar of the god 
aamukta,Shelter
aamuktha,Non Conquered
aamuktha,Liberated 
aamukti,Liberation; Final Liberation
aamya,Soft; Night Rain
aana,Young; Food Grain; Most Precious
aanadhi,One who is the First Cause
aanadhitha,Happy one 
aanadi,Always Happy
aanamra,Modest 
aanamra,Humble; Modest; Propitious
aanandamayee,Blissful Mother
aanandamayi,Full of joy; Full of happiness 
aanandana,Woman who Gives Joy / Happiness
aanandana,Happiness 
aanandatha,Happy 
aanandee,One who Brings Happiness, Joy
aanandi,The one who is always Happy 
aanandi,Happy, Cheerful
aanandini,Blissful; Joyful
aanandinii,Full of joy; Blissful 
aanandita,Purveyor of Joy, Always Happy
aanandita,Purveyor of joy; Happy 
aananditha,Purveyor of joy; Happy 
aanantha,Infinite; Endless; Eternal; The Earth 
aananthamaya,Full of great happiness 
aananti,Endless
aananya,Unique, Inalienability, Limitless
aanarta,Belonging to Stage, Theatre
aanashika, 
aanavi,One with a Heart Like Ocean
aanavi,Kind to people; Generous 
aanaya,Blessed with God; God Gifted
aanaya,Without a superior; God has shown favour 
aanchal,Shelter; The decorative end of a sari 
aanchal,One End of Saree which is Free
aanchi,TBD
aanchi, 
aandaal,An incarnation of Goddess Lakshmi 
aangan,Yard
aangi,To Decorate the Body of God (Jain)
aaniha,Indifferent 
aanika,Grace, Favour, God is Gracious
aanisa,Young Lady; Maiden
aanisha,Beautiful
aanishka,An Atom
aanita,Favoured; Grace
aaniya,Beautiful; Grace; Lord Hanuman
aanj,Heart
aanjai,Unconquerable
aanjan,Eye Liner
aanjna,Dusky; Mother of Lord Hanuman
aanju,One who Lives in the Heart
aankhi,Eye
aanshal,TBD
aanshi,God's Gift
aanshi,God's gift 
aanshika,A Part
aanshu,Tears; Beam of Light; Sun Rays
aantika,Older sister 
aanu,Full of Pride / Proud
aanvee,Joyful Gift
aanvi,One of the devis names, Name of a Goddess 
aanviya,Peaceful; Hope; Lovable; Happy
aanvy,Name of a Goddess 
aanwika,An Atom
aanya,Different, Graceful
aanya,Inexhaustible; Limitless; Resurrection 
aaoka,Lustrous; Shining
aaoka,Lustrous 
aapeksha,Expectation, Passion
aapeksha,Passion; Being passionate 
aaprna,Leafless; Goddess Parvati
aapshi, 
aapt,Friend; Faithful; Trustworthy
aapta,Angel; Proximity
aapti,Completion; Fulfilment
aapti,Fulfilment; Conclusion; Success; Completion 
aapurva,Precious
aaqila,Intelligent
aara,Ornament; Decoration; Light bringer 
aaraadhya,First one; One worth worshiping 
aarabhdha,Patience
aarabhi,Karnatic musical (Raaga) famous note 
aarabhi,Musical; Raaga; Famous Note
aaraddhy,God's Prey; Worship; Also Spelt as …
aaraddhya,God's Prey; To be Worshipped
aaradha,Son
aaradhana,Respectable, Worship, Prayer
aaradhana,Worship; Adoration 
aaradhaya,To Worship; Name of an Ornament
aaradhaya,Worshipped; Blessing of Lord Ganesh 
aaradhee,Prayer, Worshipped, Adoration
aaradheya,Preyer; Worshipped
aaradhi,Worshipped, Prayer, Adoration
aaradhika,Worshipper; Devotee; Worshipped
aaradhini,Worshipped
aaradhita,Worshipper; One who Adores
aaradhita,Worshipped 
aaradhiya,Worshipped
aaradhna,Continues Pray to God
aaradhy,God's Prey
aaradhya,Devotee, Worship, Goddess
aaradhya,Worshipped; Blessing of Lord Ganesh (Celebrity Name: Aishwarya Rai)
aaradhyay,Belief; Respect 
aaradia,Worshipped
aaradya,Worshipped, Blessing of Lord Ganesh 
aaradya,Devotee; Worship; Goddess
aarahi,TBD
aaral,Flower
aaramya,TBD
aarana,Name of Goddess Lakshmi
aarani,Beautiful
aarani,It’s a city in Tamil Nadu thats well known for sarees; Aarani also another name of Goddess Lakshmi amman 
aaranya,God of Parvati 
aaranya,Light Bringer, Exalted
aaranyaa,Sunshine; Forest; Green; Bountiful
aaras,Decoration
aarashi,First ray of the Sun; Heavenly; Rice; Queen 
aarashi,First Ray of Sun
aarathana,Soft and beautiful 
aarathi,Worship; Hymns sang in praise of God; Divine fire in ritual 
aarati,Towards the Highest Love for God
aarati,Worship; Hymns sang in praise of God; Divine fire in ritual 
aaratrika,Dusk Lamp Below Tulsi Plant
aaratrika,Dusk lamp beneath Tulsi plant 
aarav,In High Regard of, Ray, Hope
aaravi,First Ray of Sun, Peace
aaravi,Peace 
aaravya, 
aarayna,Queen 
aarayna,Queen
aarchana,Worship; Prayer
aarchi,Ray of light 
aarchi,Ray of Light; Sunrise; Comic
aarchisha,Ray of Sun
aarchna,Prayer; Worship
aarchy,Wonderful; Grace
aarddhi,Worship
aardhya,Worship 
aardra,6th Nakshatra; Wet 
aardra,Mild; Soft
aarfa,Great; High
aaria,Gentle Music, Brings Rain
aariaani,Pure, Holy One, Gift from God
aaridhya,To be accomplished; To be made favorable; To be worshipped 
aarika,Admired for Looks
aarin,Mountain Strength
aarini,Adventurous 
aarini,Adventurous
aarisha,Mirror; Reflection
aarishi,First Ray of the Sun
aaritra,One who shows the right path; Navigator 
aaritra,Navigator
aaritri,Earth
aariya,Blossom, Purity, Noble
aariyan,Of Purity; Blossom
aariyani,Pure; Holy One; Variant of Arianna
aarju,Wish
aarmana,Desire
aarna,Goddess Lakshmi; Water; Wave; Effervescing; Stream 
aarna,Ocean; Wave; Goddess Lakshmi
aarnavi,Ocean, Sea, Glow of Sun
aarogi,Healthy; Free from Disease
aarohi,A music tune; Progressive; Evolving 
aarohi,Ascending, Musical Note, Tune
aaroohi,Daughter of Lord Shiva
aaroushi,Ray of Sunshine
aarpita,Dedicated; Awasome; Devotee
aarsha,Beautiful; Pertaining to Rishis
aarshee,Divine
aarshi,First Ray of Sun
aarshiya,Above of Everything
aarshvi,Name of Lord Vishnu
aarsi,Mirror; Light; Shine; Brightness
aartee,Form of Worship, Prayer
aarthi,A way of offering prayer to God 
aarthi,Worship; Gift for God; Confidence
aarthika,Meaningful
aarthikha,TBD
aarthini,Meaningful
aarti,A form of worship; Singing of hymns in praise of God 
aarti,Form of Worship, Prayer
aartika,TBD
aaru,Love; Sun; Soul
aaruddhi,Worshipper; Devoted Effort; Prayer
aarudhi,TBD
aaruhee,Daughter of God
aaruhi,Daughter of God
aaruna,Dawn; Red; Passionate; Fertile 
aaruna,Sun
aaruni,Dawn
aarunya,First Ray of the Sun
aarupa,Without the limitations of form; Divine; Moon faced; Goddess Lakshmi 
aarupa,Beautiful
aarusha,First rays of the morning Sun 
aarusha,First Rays of the Morning Sun
aarushi,Bright, First Ray of the Sun
aarushika,Victory
aarushya,Ray of Rising Sun; Sunshine
aaruvi,Nature
aarvee,Peace
aarvi,Peace 
aarvi,First Ray of Sun, Peace
aarvia,TBD
aarvika,Universal; Lord Ganesha
aarwi,First Ray of Sun
aarya ,Honored; Noble; Goddess Parvati 
aarya,Precious, Princess
aaryaa,A Noble Lady
aaryahi,Goddess Durga 
aaryamani,Belonging to the Sun; The noblest of nobles 
aaryana,Best; Noble 
aaryana,Noble; Illustrious; Queen
aaryasri,Gift of God
aarythy,Daughter of Aarya 
aarzoo,Wish; Desire; Hope
aarzu,Hope; Wish
aas,Hope; Asylum; Acceptance; Faith
aasa,Hope; Aspiration; Admirable
aasavi,Goddess Saraswati
aasawari,TBD
aash,Hope; Expectation
aasha,Desire; Wish; Hope 
aasha,Hope, Faith, Expectation, Desire
aashadhi,TBD
aashaka,Aartis; Best wishes; Blessing 
aashaka,Blessing
aashakiran,Ray of hope 
aashakti,Power; Ability; Might
aashalata,Creeper of Hope
aashalata,Creeper of hope 
aashalatha,Creeper of hope 
aashali,Popular; Amenable 
aashana,Friend; Sweetheart; Beloved
aashcharya,Surprise 
aashee,TBD
aashi,Smile; Joy; Laughter; Blessing 
aashi,Love, Full Smile, Queen of Family
aashia,Place to Live
aashiana, 
aashiana,Shelter; Sweet Home
aashika,One without sorrow; Mercury; Sweetheart; Beloved 
aashika,Lovable; Affection
aashiki,Romance
aashima,Limitless; Protector; Defendant; Central 
aashima,Limitless; One who is Full of Hope
aashina,Derived from Aash
aashini,Lightning
aashinya,Beautiful Home
aashirvachana, 
aashirya,From the land of God 
aashirya,From the Land of God
aashish,Blessing
aashisha,A Woman who has been Blessed
aashita,River Yamuna; Success 
aashita,One who is Full of Hope
aashivitha, 
aashiya,Place to Live; Habitat
aashiyana,Beautiful Home, Small Dwelling
aashiyana,Nest; Beautiful home; A dwelling place 
aashka,Aartis; Best wishes; Blessing 
aashka,Blessings
aashlesha,Name of a Nakhtra
aashmeen,Jasmine; Flower 
aashmi,From the Sky 
aashmi,From the Sky
aashmika,TBD
aashmita,Pride; Also Spelt as Ashmita 
aashmita,Pride; Also Spelt as Ashmita
aashna,Beloved; Devoted to love; Friend; The one to be acknowledged or praised 
aashna,Hope; Devoted to Love; Beloved
aashni,Lightning 
aashni,Lightning
aashra,Shelter
aashraya,Shelter 
aashraya,Shelter / Comfort
aashrayaa,Shelter / Comfort
aashreya,Shelter; Protection; Place to Stay
aashrita,Somebody who gives shelter; Goddess Lakshmi 
aashrita,Goddess Laxmi / Parvati
aashritha,Helping Nature
aashritha,Somebody who gives shelter; Goddess Lakshmi 
aashriti,TBD
aashriya,Beauty; Perfection
aashrutha,TBD
aashta,Faith; Belief 
aashtha,Faith; Belief 
aashtha,Faith
aashu,Hopefully; Strong; Great
aashvani,Female horse 
aashvee,Victorious; Goddess Saraswati 
aashvee,Victorious; Goddess Saraswati
aashvi,Goddess Saraswati, Blessed
aashvini,TBD
aashwi,Blessed - Victorious
aashwika,Goddess Santoshi Maa 
aashwika,Goddess Santoshi Maa
aashwina,Child of the Star
aashwini,Attractive, Name of a Star
aashya,Long Live
aasi,Very Beautiful Girl; Mirror
aasia,One who tends to the weak and heals; Hopeful 
aasia,Hopeful
aasika,Goddess Laxmi
aasima,Protector; Central; Defendant
aasini,Smile
aasiya,Goodness
aasiyana,Beautiful Home
aaslesha,Name of Star
aasma,Precious; Excellent; Sky
aasmi,I am, Self-confident 
aasna,Purity
aasra,King of fame 
aasra,Anchor; Support; Shelter
aasrita,Somebody who gives shelter; Goddess Lakshmi 
aassie,Divine Beauty
aasta,Faith; Trust
aastha,Faith; Hope; Regard; Support 
aastha,Trust, Belief, Devotee of God
aasthaa,Faith; Hope; Regard; Support 
aasthaa,Faith; Desire to Achieve
aasthika,Faith 
aasthika,Faith
aastika,One who has Faith in God
aastiki,One who Believes in God, Theist
aastitve,TBD
aasttha,Belief; Faith; Trust
aasu,Tear Drop; Tears
aasya,One who tends to the weak and heals; Hopeful 
aasya,Related to Mouth / Face
aathi,Arranger; Adjuster 
aathi,Sun; First
aathiksha,TBD
aathimanthi,Hope
aathira,Prayer; Quick; Lightening; Pray; Name of a star 
aathira,Moon Light at Day
aathirai,Red Star
aathirsha,TBD
aathma,Soul
aathmika,Related to aathma, Soul 
aathmika,Related to Soul, Goddess of Light
aathmiya,Spiritual
aatika,Kind Affectionate
aatikah,Kind Affectionate; Gorgeous
aatish,Fireworks
aatishi,A Burning Glass
aatithya,Welcoming; Hospitality
aatmaja,Daughter of the soul, Born of the soul; Another name for Paarvati 
aatmaja,Daughter
aatmika,Belongs to the Soul; Aathma; Soul
aatmini,TBD
aatrayi,Container of glory 
aatrayi,TBD
aatreya,Name of a Sage
aatreyi,Glorious; Able to cross the three worlds 
aatya,Nice
aau,Span of Life; Age
aaudhi,Boundary
aaushi,Knowledgeable; Careful; Long Life
aausi,Goddess Lakshmi
aavaana,Satisfaction; Joy
aavani,The Earth; First month of Tamil calendar 
aavani,First Month of Tamil Calendar
aavantika,Princess of Ujjain, Goddess
aavantika,Ancient Malwa; Ujjain; Infinite; Humble; Modest; The sacred city of Ujjain 
aavi,Beautiful
aavihshka,Altruism, Advantage, Virtue
aavihshka,Altruism; Advantage; Virtue; Accord; Heart; Warm and loving; Warm and friendly, for you are blessed with many 
aavika,Diamond
aavni,The Earth
aavya,First rays of the Sun; Gift of God 
aavya,First Ray of Light; God Gift
aawarna,TBD
aawigha,TBD
aaxa,Reflection
aayan,Gift of God
aayanshi,First Ray of Light, Light of God
aayantika,Mobile, Move or Travel to Place
aayati,Majesty; Dignity; Royal 
aayaushi,One with long life; Long-lived 
aayaushi,Long Life
aayesha,Obedient
aayisha,TBD
aayna,Mirror
aayra,Respectable Person
aaysha,Obedient
aayu,Span of Life; Age; Journey of Life
aayukta,Unique; The Sun
aayushi,One with long life; Long-lived 
aayushi,One with Long Life; Live Long
aayushna,One with Long Life
aayushree,Age; Span of Life
aayusi,One with Long Life
aayusri,Good Intelligent
aayuti,Light; Freedom; Independence
ababa,Flower; Fruit
abala,Immovable; The Earth
abani,Earth
abantika,City of Ujjain; Princess of Ujjain
abarna,God bharvathy 
abarna,Jewel
abay,Father of a multitude 
abaya,Refuge
abayomi,Pleasant Meeting, From Yoruba
abbinnaya,TBD
abbynayha,Expressions 
abda,Worshipper 
abeedha,Permanent 
abeedha,Permanent
abeela,TBD
abeena,Beautiful 
abeera,TBD
abha,Glow; Luster; Shine 
abha,Brightness, Lustre, Shine
abhaa,Lustre; Shining; Beauty
abharan,Ornament; A Jewel
abhari,Grateful
abhati,Splendor; Light 
abhati,Splendour; Light
abhavya,Signifies Fear; Goddess Parvati
abhaya,Fearless 
abhaya,Fearless
abhayaa,Without Fear; Fearless
abhayankari,One who Gives Courage
abhayanti,Fearless
abhayi,Brave, Fearless, Undaunted
abheera,A cowherd 
abheera,A Cowherd
abheesha,Goddess of will; Companion 
abheeta,Fearless; Undaunted; Fearlessness
abheri,Fearless
abhi,Fearless, Surprise
abhibha,Fearless; Fluttering
abhidha,Word; Sound 
abhidha,Literal Meaning
abhidhya,Wish; Longing 
abhidya,Of Thought; Wish; Longing
abhigjna,Wisdom 
abhigna,The knowledgeable; Wise one 
abhigna,Precious, Knowledgeable, Lighting
abhignay,Wise 
abhignya,Knowledgeable; Wise one 
abhigya,Wise One; Expert; Adept
abhijaata,Well Born
abhijata,Well born woman 
abhijit,Victory
abhijita,Victorious woman 
abhijita,Victorious Woman
abhijitha,Lakshmi
abhijiti,Victory 
abhijiya,TBD
abhijna,Remembrance; Recollection 
abhijna,Remembrance; Recollection
abhikanksha,Longing for; Desire 
abhikanksha,Longing for; Desire
abhila,Skilled Expert
abhilaasa,Wish; Desire
abhilasa,Desire; Wish; Affection 
abhilasha,Desire; Wish; Hope
abhilasha,Desire; Wish; Affection 
abhilashita,Desired; Wished
abhilipsa,First Wish
abhimaaninee,One who Possesses; Self-respect
abhimanya,Son of Arjuna; A Warrior
abhimatha,Desired 
abhimukhi,Facing
abhina,Quite new; Very young; Fresh 
abhinanda,One who Greets, Greetings
abhinandana,Happiness; Good Wishes
abhinaya,Expressions 
abhinayasri, 
abhinayasri,TBD
abhineeta,Perfect
abhinetri,Actress
abhinithi,TBD
abhinithi,That which is already performed; Friendship 
abhinivesha,Possessiveness
abhiniya,Expressions 
abhinya,Expression 
abhiprithi,Full of Love 
abhipriti,Full of Love
abhipriya,The First Lovable
abhipsa,Desire; Hope of Heart
abhipsa,Strong desire; Wish 
abhira,Cow-herd
abhira,A cowherd 
abhiraksa,One who Protects
abhirami,Goddess Parvati; Goddess Lakshmi 
abhirathi,Pleasure
abhirathi,Pleasure 
abhiri,A Raagini of Indian Music
abhiri,A Raagini of Indian music 
abhirka,Wife of Cowherd
abhiroopa,Delightful, Beloved, Beautiful
abhiroopa,Beautiful woman 
abhiruchi,Beautiful; Taste; Relish
abhiruchi,Beautiful 
abhirupa,Beautiful woman 
abhisaarikaa,Fearless; Goddess Parvati
abhisarika,The beloved one 
abhisarikaa,The Beloved One
abhiseerat, 
abhisha,Pleasant; Consolation
abhisheka,Worshipping the idol 
abhishekita,Name of a novel written by Sumitranandan pant 
abhishikta,Women crowned in the royal chair 
abhishree,To enlighten; Brilliant; Powerful; Surrounded by glory; Shining 
abhishri,To enlighten; Brilliant; Powerful; Surrounded by glory; Shining 
abhishu,A Ray of Light
abhismita,Perfectionist; Beautiful Smile
abhisneha,Love; Longing
abhisri,Surrounded by Glory, Shining
abhisri,To enlighten; Brilliant; Powerful; Surrounded by glory; Shining 
abhisuri, 
abhitha,Fearless, Goddess Parvati
abhitha,Fearless (Goddess Parvati) 
abhithi,Fearlessness
abhithi,Fearless (Goddess Parvati) 
abhiti,Fearless; Brave; Courageous
abhivibha,Illuminate
abhiyanka, 
abhja,Water Lily
abhramani,Sun or Moon
abhramu,Steady; Clear
abhriruci,Deep Interest
abhtha,Gazelle 
abhy,Gives Joy
abhya,Fearless
abi, 
abigyani, 
abila,Skilled Expert
abilashini,Desire; Aspiration; Desirability 
abillasha,Desire; Wish
abimola,Born to be Rich
abina,Born on a Thursday; Cute
abinandha,Ever wishing person 
abinaya,Expression, Action, Lovely, Sweet
abinaya,Abinaya means expressions 
abira,Strong
abirami,Friendly, Goddess Laxmi
abirami,Goddess Parvati; Goddess Lakshmi 
abirena, 
abisha,Gift of God
abisha,The Lord is my father 
abishai,My Father is a Gift
abishta,Lady of the House
abishta,Lady of the house 
abitha,Lovely, Hearty, Gazelle
abja,Born in water 
abja,Born in Water; Sunshine
abjini,Multitude of Lotuses
ablaa,Perfectly Formed; A Flower
abmel,Hopeful
abni,Air; Fire
aboil,The Name of a Flower
aboil,The name of a flower 
aboli,A Flower; Name of a Flower
aboli,The name of a flower 
abritty,Poem or Recitation
absara,Moves in the Rains in the Clouds
acala,The Immovable One
acchal,Shelter
acchoda,With Clear Water; A River
achal,Steady, Mountainous, Constant
achala,Steady, Mountain, River, Constant
achala,Constant; The Earth 
acharat,Astonishment
acheri,Little Girl
achhita,Rice; Whiteness
achint,Having No Worry
achira,Very Short; Cold Season
achira,Very short; Quick; Agile 
achiraprabha,Lightening
achit,Constant
achita,Pay; Filled
achitha,Filled
achla,Constant; Earth; Stable
achla,The Earth; Stable 
achu,Can Not Destroy, Intelligently
achulitha, 
acira,Brief; Swift; Fast
acira,Brief; Swift; Fast 
ada,Graceful and Noble, Pure, Noble
adag,Pure; Sacred
adah,Adornment 
adah,From the Beautiful Scenery
adana,Created by God 
adanna,Father's Loving Daughter; One who …
adanya,Beginning, Goddess Parvati
adarsh,Ideal
adarsha,Ideal
adarsha,Idol; Mentor; With an ideology 
adarshi,Ideal
adarshini,Idealistic 
adasi,Free Woman; Variant of Adaasee
addhya,Worshipped
additi,Boundless; Universal; Limitless
additri,Goddess Lakshmi
addrija,Mountain Born
adeesha,Goddess Laxmi, Heavenly, Powerful
adeeshi,Goddess Durga / Parvati
adesha,Order; Command
adeshi,Order; Command
adevi,Devoted to God
adhamya,Difficult 
adhana,One without Money
adhavi,Earth
adhay,First Power; Brave
adhaya,Intelligent; Brave
adheena,Goddess of Art
adheeni,Nearest
adheya,First Power; Beginning; Brave
adhidevta,A Deity
adhika,More; Greater
adhikshitha,Supreme God
adhila,Justice
adhina,Derived from Adhini
adhini,TBD
adhira,Lightning; Strong 
adhisa,Master; Goddess
adhisha,Queen
adhisha,Beginning 
adhishree,Exalted
adhishree,Exalted 
adhishta,A Person who Rules in Particular Region 
adhishthi,Devi 
adhisree,Exalted 
adhita,A Scholar
adhithi,Freedom; Safety; Abundance 
adhiti,Learned Man; Scholar
adhiti,Mother of the Gods; Liberty; Perfection; Creativity; Freedom; Safety; Abundance 
adhiya,Full of Sweetness, Courageous
adhrita,Independent; Supportive; One who is loved by everyone 
adhrushta,Luck; One of the Ten Durgas
adhrysa,Invincible
adhuja,Made of Honey 
adhulya,Incomparable; Most Important
adhvi,Earth
adhvika,Unique; Matchless
adhvika,World; Earth; Unique 
adhya,First Power; Lord Ganesha
adhya,First power; Unparalleled; Great; Beyond perception 
adhyasree,Goddess Durga
adhyay,Goddess Durga; Chapter
adhyay,Goddess Durga; Chapter 
adhyaya,Goddess Durga; Chapter 
adhyayani,Studious
adi,Adornment, Jewel, The First
adidevi,The First Goddess; Goddess Durga
adija,Goddess Parvati
adika,Ghanian name was given to the first child from a second husband 
adika,Power
adil,Sincere; Supreme Being
adimata,The Primal Mother
adina,Decoration, Friday, Beautiful
adini,Famous 
adipta,Bright
adira,Strong; Noble; Beautiful; Powerful
adira,Lightning; Strong; The Moon 
adisha,Without Direction, Laxmi Devi
adisha,Beginning 
adishakti,Glorious, Goddess Parvati
adishree,Exalted 
adishri,Goddess Lakshmi
adisree,Exalted
adisri,Mother of Gods
adita,First Root; Sun; Beginning
aditha,The First Root
aditha,The first root 
adithi,Freedom; Safety; Abundance; Guest
adithi,Mother of the Gods; Liberty; Perfection; Creativity; Freedom; Safety; Abundance 
adithri,Goddess Lakshmi; Highest Honour
adithya,Sun God; Son of Adithi
aditi,Universal, Boundless, Limitless
aditi,Mother of the Gods; Liberty; Perfection; Creativity; Freedom; Safety; Abundance 
aditri,Highest Honour; Goddess Lakshmi
aditrii,The highest honor; Goddess Lakshmi 
aditsha,Desire to Talk
aditti,Freedom; Boundless
aditu,Daughter of Earth, The Sun
adity,Ornament, Daughter of Earth
adity,Mother of the Gods; Liberty; Perfection; Creativity; Freedom; Safety; Abundance 
aditya,The First, Lord of the Sun
adityaa,Devi of Durga 
adiya,Gods Treasure
adna,Paradise, Pleasure, Delight
adnah,Eternal Rest
adona,Peace; Joy
adreeta,Adorable, Beloved, Kindness
adri,Mountain valley 
adrija,Of the Mountain
adrija,Of the mountain; Another name of Goddess Parvati 
adrika,Mountain, Goddess Lakshmi
